iter	RMSE
0	3.918796313
1	3.915855477
2	3.9139402
3	3.911540336
4	3.909373333
5	3.907696246
6	3.905932689
7	3.904328546
8	3.90310436
9	3.90135106
10	3.90012031
11	3.898931946
12	3.897479421
13	3.895991223
14	3.894918058
15	3.894112481
16	3.892922523
17	3.891596919
18	3.890803501
19	3.88918483
20	3.888345507
21	3.887234541
22	3.886038629
23	3.885271249
24	3.884530896
25	3.883642213
26	3.88297638
27	3.881756653
28	3.881145983
29	3.88035091
30	3.879182621
31	3.878598284
32	3.877888339
33	3.876881979
34	3.876090249
35	3.875389487
36	3.874661955
37	3.874177138
38	3.873391247
39	3.872572386
40	3.871616649
41	3.870782447
42	3.870264073
43	3.869648934
44	3.869130287
45	3.868045564
46	3.867073729
47	3.866455787
48	3.865652375
49	3.86499843
50	3.864369639
51	3.863678963
52	3.86337862
53	3.862592467
54	3.861656881
55	3.861238787
56	3.860654397
57	3.860116752
58	3.859427615
59	3.858858082
60	3.858212914
61	3.857643081
62	3.856827053
63	3.856228669
64	3.855366299
65	3.854690249
66	3.854157226
67	3.853817959
68	3.853298878
69	3.852292158
70	3.851803434
71	3.850992841
72	3.850339803
73	3.849976781
74	3.848900132
75	3.848110415
76	3.847739412
77	3.847357568
78	3.846531343
79	3.845813413
80	3.845425911
81	3.844673268
82	3.843915008
83	3.843424369
84	3.842753269
85	3.84200837
86	3.841340306
87	3.840896649
88	3.840323152
89	3.839804559
90	3.839349531
91	3.838853318
92	3.8382755
93	3.837336541
94	3.836960114
95	3.836561368
96	3.835973461
97	3.8355371
98	3.835217501
99	3.834807854
