iter	Passed	Remaining
0	12	1214
1	16	802
2	19	646
3	37	890
4	40	776
5	44	703
6	48	638
7	52	603
8	55	566
9	59	532
10	62	503
11	66	485
12	71	475
13	75	461
14	80	453
15	84	445
16	89	435
17	94	429
18	99	424
19	112	450
20	118	445
21	124	440
22	129	434
23	135	429
24	141	423
25	147	418
26	152	412
27	157	404
28	161	394
29	165	385
30	168	375
31	172	367
32	176	358
33	180	351
34	184	342
35	189	337
36	198	338
37	202	330
38	206	322
39	211	317
40	216	311
41	222	307
42	228	302
43	232	296
44	236	289
45	241	283
46	245	276
47	250	271
48	255	266
49	260	260
50	263	253
51	266	246
52	270	239
53	273	233
54	285	233
55	289	227
56	293	221
57	296	214
58	305	211
59	307	205
60	311	198
61	314	192
62	317	186
63	320	180
64	323	174
65	328	169
66	331	163
67	335	157
68	339	152
69	342	146
70	346	141
71	351	136
72	357	132
73	371	130
74	375	125
75	378	119
76	382	114
77	386	109
78	390	103
79	393	98
80	397	93
81	402	88
82	406	83
83	409	78
84	413	72
85	419	68
86	424	63
87	430	58
88	436	53
89	441	49
90	453	44
91	458	39
92	463	34
93	469	29
94	475	25
95	480	20
96	486	15
97	492	10
98	497	5
99	503	0
